student_id,branch,track,gender,age,study_hours_week,commute_minutes,sleep_hours,projects_submitted,satisfaction_1to5,has_laptop,transport,pets_at_home,favorite_sport,final_score
ITI-1031,Cairo,Data Science,Male,21,16.5,34.1,5.5,2,3,Yes,Car,0,Swimming,79.3
ITI-1117,Assiut,Data Science,Female,29,25.1 hours,5.0,6.6,3,4,Yes,Metro,1,Football,91.7
ITI-1080,Cairo,Data Science,Male,25,14.1,73.2,7.7,0,4,Yes,Bus,0,,79.3
ITI-1128,Cairo,Web Development,Female,25,-5,13.7,6.3,2,4,Yes,Metro,1,,90.6
ITI-1197,Menoufia,Web Development,Male,25,19.9,17.2,6.9,3,3,No,Car,0,none,86.8
ITI-1138,Cairo,UI/UX,Male,22,8.5,29.6,5.2,4,2,Yes,Microbus,1,Running,59.1
ITI-1210,Cairo,Data Science,Male,21,20.4,56.1,6.2,3,5,Yes,Bus,0,Football,92.5
 ITI-1046 ,Cairo,Data Science,Female,23,14.0,51.7,7.4,3,3,Yes,Bus,3,Football,72.6
ITI-1159,Assiut,Data Science,Male,20,17.6,21.8,6.1,5,4,Yes,Walk,1,Swimming,88.6
ITI-1248,Alexandria,Data Science,Male,22,18.7,15.0,7.3,4,4,No,Microbus,0,Basketball,84.9
ITI-1184,Mansoura,Web Development,Female,23,12.2,58.2,7.3,7,3,1,Microbus,2,,71.9
ITI-1042,cairo,Data Science,Male,27,21.9,22.8,6.7,6,5,Yes,Bus,0,Basketball,87.7
ITI-1228,alexandria,Web Development,Female,20,,15.7,6.1,2,5,Yes,Car,0,Football,"55,6"
ITI-1083,Cairo,Data Science,Male,23,12.3,39.2,6.3,5,5,Yes,Bus,0,Running,78.6
ITI-1166,Alexandria,web development,Male,26,13.1 hours,63.8,7.9,1,5,Y,Bus,0,none,74.3
ITI-1195,Mansoura,UI/UX,Female,25,14.7,13.6,6.9,4,3,Yes,Bus,0,,77.2
ITI-1227,Alexandria,Web Development,Male,22,16.6,59.1,7.5,2,3,Yes,Bus,0,Basketball,66.8
ITI-1147,Cairo,Data Science,Female,20,18.6,44.3,7.0,6,2,Yes,Metro,0,Football,83.7
ITI-1105,Alexandria,Web Development,Female,25,25.9,22.4,7.1,4,3,Yes,bus,0,Running,87.4
